P18,P20,P21,P22,P23A,P23B,P24_num,P25,P27,P28,P15_bin
Mujer,35,"Menos de estudios primarios, no sabe leer",Católico no practicante,Jornaleros del campo,,4.0,U.C.D,Levante y Murcia,Menos o igual a 2.000 habitantes,1.0
Hombre,35,Estudios primarios completos. cultural general,Católico practicante,,Profesional Liberal,5.0,P.S.O.E,Levante y Murcia,Menos o igual a 2.000 habitantes,1.0
Mujer,40,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Industrial comercial,2.0,U.C.D,Levante y Murcia,Menos o igual a 2.000 habitantes,1.0
Hombre,53,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,,3.0,U.C.D,Levante y Murcia,Menos o igual a 2.000 habitantes,1.0
Mujer,63,Estudios primarios completos. cultural general,Católico no practicante,"Vendedores, Agentes Comerciales, etc...",,,,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Mujer,30,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,N.C,,7.0,P.S.O.E,Levante y Murcia,100.001 a 400.000 habitantes,0.0
Mujer,43,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,,U.C.D,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Mujer,26,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,6.0,No votó,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Hombre,23,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Indiferente,Peones y obreros sin cualificar,,4.0,P.S.O.E,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Mujer,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Empleados subalternos,,4.0,U.C.D,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Hombre,32,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,,5.0,P.S.O.E,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Hombre,28,"Menos de estudios primarios, no sabe leer",Católico practicante,,,5.0,,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Hombre,33,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,6.0,No votó,Levante y Murcia,50.001 a 100.000 habitantes,1.0
Mujer,39,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,,U.C.D,Levante y Murcia,50.001 a 100.000 habitantes,1.0
Hombre,57,Estudios primarios completos. cultural general,Católico practicante,,,5.0,U.C.D,Levante y Murcia,50.001 a 100.000 habitantes,1.0
Hombre,64,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Personal manual de servicios no cualificados,Industrial comercial,,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,32,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,4.0,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,69,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,5.0,,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,27,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,2.0,,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Mujer,55,Bachiller elemental,,Obreros cualificados,,2.0,U.C.D,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Mujer,58,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,5.0,U.C.D,Cataluña/Islas Baleares,100.001 a 400.000 habitantes,1.0
Hombre,70,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,Agricultor/Propietario,5.0,U.C.D,Cataluña/Islas Baleares,100.001 a 400.000 habitantes,1.0
Hombre,19,Estudios primarios completos. cultural general,Católico no practicante,,,4.0,U.C.D,Cataluña/Islas Baleares,100.001 a 400.000 habitantes,1.0
Mujer,24,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,Agricultor/Propietario,3.0,U.C.D,Cataluña/Islas Baleares,100.001 a 400.000 habitantes,1.0
Hombre,62,"Menos de estudios primarios, no sabe leer",Católico practicante,,,,,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,22,"Menos de estudios primarios, no sabe leer",Católico practicante,Obreros cualificados,,6.0,P.S.P,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,40,Estudios primarios completos. cultural general,Católico practicante,Obreros cualificados,,2.0,U.C.D,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,0.0
Mujer,72,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,,U.C.D,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,36,Bachiller superior,Católico no practicante,Jornaleros del campo,,6.0,No votó,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,32,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,4.0,No votó,Andalucía Oriental,2.001 a 10.000 habitantes,0.0
Hombre,43,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Jornaleros del campo,,3.0,U.C.D,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,21,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Peones y obreros sin cualificar,,2.0,U.C.D,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Mujer,44,Estudios primarios completos. cultural general,Católico practicante,,,3.0,No votó,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,52,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,Agricultor/Propietario,4.0,,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,20,Estudios primarios completos. cultural general,Católico practicante,,Industrial comercial,5.0,No votó,Andalucía Oriental,2.001 a 10.000 habitantes,0.0
Hombre,20,Bachiller superior,Católico practicante,,,4.0,P.S.O.E,Andalucía Oriental,2.001 a 10.000 habitantes,0.0
Mujer,38,Estudios primarios completos. cultural general,Católico no practicante,Funcionarios de nivel medio,,4.0,P.S.O.E,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,39,Bachiller elemental,Católico no practicante,Funcionarios de nivel medio,,5.0,U.C.D,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,60,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Jornaleros del campo,,4.0,P.S.O.E,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Mujer,63,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,4.0,U.C.D,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Mujer,37,Estudios primarios completos. cultural general,Católico practicante,,,4.0,P.S.O.E,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,53,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Personal manual de servicios no cualificados,,3.0,U.C.D,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
