CUES,P1,P2,P301,P302,P4,P5,P6,P701,P702,P703,P704,P705,P706,P707,P708,P709,P710,P801,P802,P803,P804,P805,P806,P807,P9,P1001,P11,P1201,P1202,P1203,P1204,P1205,P1206,P1207,P1208,P1209,P1210,P1211,P1301,P1302,P1303,P1304,P1305,P13BIS01,P13BIS02,P13BIS03,P13BIS04,P13BIS05,P1401,P1402,P1403,P1404,P1405,P1406,P15,P16,P17,P18,P19,P19A,P20,P21,P22,P22A,P23,P24,P25,N1,N2,N3,N4,N5,P27,P28,P23A,P23B,P24_num,P801_num,P802_num,P803_num,P804_num,P805_num,P806_num,P807_num,P20_grupo,P15_bin
1103,Conjunto de principios básicos que regulan la vida de los es,,,Televisión,,Insuficiente,,,,,,,,,,,,,,,,,,,Algo,,,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,,En desacuerdo,De acuerdo,,,,,,,,Positivamente,,Positivamente,No,,2,Hombre,Casado,,35,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,,Está empleado (trabaja por cuenta ajena),,P.S.O.E,Mucha,20.0,,De 46.000 ptas a 65.000 ptas mensuales,Extrema izquierda,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,Trabajador Independiente,,,,,,,,,26-35,0.0
1104,Un documento para arreglar los problemas económicos,Nunca o casi nunca,N.S/N.C,Prensa,,,,,,,,,,,,,,4,5,6,5,1,,,,,Mucho,,,,,,,,,,,,,En desacuerdo,,De acuerdo,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,Positivamente,,Positivamente,Sin influencia,,,,4,Mujer,Soltero,,27,Estudios primarios completos. cultural general,Católico practicante,,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,Otros,Bastante,20.0,,De 26.000 ptas a 35.000 ptas mensuales,2,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,6.0,4.0,5.0,6.0,5.0,1.0,,,26-35,
1105,Conjunto de principios básicos que regulan la vida de los es,,,Prensa,Poco/un poco/ nada,,8 a 11 meses,,,,,,,,,,,,,,,,4,,Algo,,,,,,,,,,,,,,De acuerdo,,De acuerdo,En desacuerdo,,De acuerdo,,De acuerdo,,De acuerdo,Sin influencia,Sin influencia,Positivamente,,Positivamente,,No,,2,Hombre,Soltero,,30,Bachiller superior,Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,P.S.O.E,Bastante,25.0,,De 19.000 ptas a 25.000 ptas mensuales,5,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,Empresario Industrial,7.0,,,,,,4.0,,26-35,0.0
1106,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Prensa,Televisión,,Insuficiente,,No menciona,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,2,6,5,4,,,4,Mucho,,Poco,,,,,,,,,,,,De acuerdo,,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,,De acuerdo,,Positivamente,,,,,Positivamente,,,4,Hombre,Casado,,31,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,,Bastante,30.0,,De 46.000 ptas a 65.000 ptas mensuales,2,Área de Madrid,Más de 1.000.000 habitantes,Empleados subalternos,,6.0,2.0,6.0,5.0,4.0,,,4.0,26-35,
1107,Conjunto de ordenanzas que regulan la Administración español,,,,Sólo una parte,,8 a 11 meses,,,,,,,,,,,,4,,,,,,,Falta de información,Mucho,,,,,,,,,,,,,De acuerdo,,,,,De acuerdo,,De acuerdo,,,,,Negativamente,,,Sí,,,Hombre,Soltero,,50,Estudios de formación profesional,Católico practicante,,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,No votó,Bastante,20.0,,De 36.000 ptas a 45.000 ptas mensuales,4,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,7.0,,4.0,,,,,,46-55,1.0
1108,Un documento para arreglar los problemas económicos,Sólo de vez en cuando,Prensa,"Charlas con amigos, parientes, etc.",,Suficiente,,Juega un papel importante,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,2,4,,,Falta de información,,,,,,,,,,,,,,,,De acuerdo,,,,De acuerdo,,De acuerdo,,Negativamente,Negativamente,,Positivamente,,Sí,,2,Mujer,Casado,,24,Bachiller superior,Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,U.C.D,Poco,25.0,,De 36.000 ptas a 45.000 ptas mensuales,5,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,6.0,,,,,2.0,4.0,,18-25,1.0
1109,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,Prensa,Poco/un poco/ nada,Suficiente,8 a 11 meses,,,,,,,,,,,,,,,,,5,Algo,Falta de información,,,,,,,,,,,,,De acuerdo,,De acuerdo,,De acuerdo,De acuerdo,,,,,Positivamente,,,,,Sin influencia,,,4,Mujer,Casado,,22,Estudios de grado medio,Católico no practicante,,Está empleado (trabaja por cuenta ajena),De 12.000 ptas a 18.000 ptas mensuales,,Mucha,15.0,,De 36.000 ptas a 45.000 ptas mensuales,2,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,3.0,,,,,,,5.0,18-25,
1110,Un documento para arreglar los problemas económicos,,,Televisión,Poco/un poco/ nada,Insuficiente,Menos de 5 meses,No menciona,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,2,3,2,,,,,Falta de información,Mucho,,,,,,,,,,,,,De acuerdo,,,,,De acuerdo,,De acuerdo,,,,Positivamente,Positivamente,,,,A favor,2,Mujer,Casado,,26,Universitario o técnicos de grado superior,Católico practicante,,Está empleado (trabaja por cuenta ajena),De 12.000 ptas a 18.000 ptas mensuales,No votó,Mucha,10.0,,Más de 85.000 ptas mensuales,3,Área de Madrid,Más de 1.000.000 habitantes,,,3.0,1.0,2.0,3.0,2.0,,,,26-35,
1111,Conjunto de ordenanzas que regulan la Administración español,,,,,Suficiente,,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,4,,,,,,,,,,,,,,,,,,,De acuerdo,De acuerdo,,,De acuerdo,,De acuerdo,,Positivamente,Negativamente,,Positivamente,Positivamente,No,,3,Hombre,Casado,,45,Universitario o técnicos de grado superior,Católico practicante,,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,P.S.O.E,Mucha,20.0,,De 46.000 ptas a 65.000 ptas mensuales,2,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,7.0,,,,,,4.0,,36-45,0.0
1112,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Prensa,,,Insuficiente,,,,,,,,,,,,,,,,,4,1,Algo,,,,,,,,,,,,,,De acuerdo,En desacuerdo,De acuerdo,,De acuerdo,De acuerdo,,,,,Sin influencia,,Positivamente,Negativamente,,Negativamente,,,4,Mujer,Casado,,69,Estudios primarios completos. cultural general,No creyente,Los domingos y festivos,Está jubilado y antes estaba empleado,De 19.000 ptas a 25.000 ptas mensuales,No votó,Mucha,15.0,,Más de 85.000 ptas mensuales,3,Área de Madrid,Más de 1.000.000 habitantes,N.C,,4.0,,,,,,4.0,1.0,66-75,
1113,Conjunto de ordenanzas que regulan la Administración español,,,Prensa,La mayoría de los artículos,Insuficiente,Menos de 5 meses,,,,,,,,,,,1,3,3,5,,5,6,,,Algo,,,,,,,,,,,,,De acuerdo,,De acuerdo,De acuerdo,,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,,Negativamente,Negativamente,Positivamente,Negativamente,Sin influencia,,,4,Mujer,Soltero,,64,Bachiller superior,Católico practicante,NC,Trabaja por su cuenta,De 19.000 ptas a 25.000 ptas mensuales,P.C.E.,Mucha,15.0,,De 66.000 ptas a 85.000 ptas mensuales,4,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,4.0,1.0,3.0,3.0,5.0,,5.0,6.0,56-65,
1114,Conjunto de principios básicos que regulan la vida de los es,,,Prensa,,Insuficiente,,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,,,,,4,1,2,Nada,,,,,,,,,,,,,,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,N.S,De acuerdo,,De acuerdo,,De acuerdo,Negativamente,Positivamente,Positivamente,Positivamente,Sin influencia,Negativamente,Sí,,3,Hombre,Viudo,,25,Universitario o técnicos de grado superior,Católico practicante,,Está empleado (trabaja por cuenta ajena),De 26.000 ptas a 35.000 ptas mensuales,No votó,Mucha,15.0,,Más de 85.000 ptas mensuales,3,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel alto (titulación superior),,5.0,,,,,4.0,1.0,2.0,18-25,1.0
1115,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Radio,,Insuficiente,,,,,,,,,,,,,,,,4,1,1,Poco,No se confía en la política/la gente está desilusionada,Nada,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Sin influencia,Positivamente,Positivamente,Positivamente,,,4,Hombre,Casado,,31,Estudios primarios completos. cultural general,No creyente,,Trabaja por su cuenta,De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Mucha,10.0,,De 66.000 ptas a 85.000 ptas mensuales,3,Área de Madrid,Más de 1.000.000 habitantes,,,4.0,,,,,4.0,1.0,1.0,26-35,
1116,Conjunto de principios básicos que regulan la vida de los es,,,,Sólo una parte,Insuficiente,8 a 11 meses,,,,,,,,,,,1,1,4,4,5,1,1,Mucho,Hay problemas más importantes,Nada,,,,,,,,,,,,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Sin influencia,Positivamente,Sin influencia,Sin influencia,Sí,,3,Hombre,Soltero,,70,Bachiller superior,Católico practicante,,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,P.S.O.E,Mucha,10.0,,,4,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,7.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,66-75,1.0
1117,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,Prensa,,Insuficiente,,No menciona,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,6,7,1,1,1,2,Nada,,Mucho,,,,,,,,,,,,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Positivamente,Positivamente,Positivamente,Positivamente,Sin influencia,No,A favor,2,Mujer,Casado,,18,Universitario o técnicos de grado superior,No creyente,,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,U.C.D,Mucha,10.0,,,3,Área de Madrid,Más de 1.000.000 habitantes,Empleados a nivel superior,Profesional Liberal,6.0,1.0,6.0,7.0,1.0,1.0,1.0,2.0,18-25,0.0
1118,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,N.S/N.C,Prensa,Sólo una parte,Insuficiente,5 a 7 meses,,,,,,,,,,,1,2,4,4,1,1,1,Algo,Son leyes nuevas,Nada,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Sin influencia,Positivamente,Positivamente,Positivamente,Sí,,2,Mujer,Soltero,,64,Estudios de grado medio,No creyente,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,No votó,Bastante,10.0,,,Extrema izquierda,Área de Madrid,Más de 1.000.000 habitantes,,,6.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,56-65,1.0
1119,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Prensa,,Poco/un poco/ nada,Insuficiente,5 a 7 meses,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,2,7,5,3,1,1,1,Poco,,Mucho,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Positivamente,Sin influencia,Positivamente,Positivamente,Sin influencia,No,,6,Hombre,Soltero,,52,Universitario o técnicos de grado superior,Católico no practicante,,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,P.C.E.,Mucha,10.0,,,3,Área de Madrid,Más de 1.000.000 habitantes,Obreros cualificados,,6.0,2.0,7.0,5.0,3.0,1.0,1.0,1.0,46-55,0.0
1120,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Prensa,,La mayoría de los artículos,,5 a 7 meses,No menciona,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,2,6,6,4,1,4,1,Nada,,Poco,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Positivamente,Sin influencia,Positivamente,Positivamente,Sin influencia,Sí,,4,Mujer,Casado,,22,Estudios de grado medio,Católico no practicante,Alguna vez al mes,Está empleado (trabaja por cuenta ajena),Más de 85.000 ptas mensuales,,Mucha,9.0,,,6,Área de Madrid,Más de 1.000.000 habitantes,Obreros cualificados,,9.0,2.0,6.0,6.0,4.0,1.0,4.0,1.0,18-25,1.0
1121,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Prensa,,Sólo una parte,,5 a 7 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,4,7,4,1,6,4,Poco,Hay problemas más importantes,Nada,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Sin influencia,Sí,A favor,2,Hombre,Soltero,,65,Universitario o técnicos de grado superior,No creyente,Alguna vez al mes,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,Otros,Mucha,15.0,,,3,Área de Madrid,Más de 1.000.000 habitantes,,,7.0,1.0,4.0,7.0,4.0,1.0,6.0,4.0,56-65,1.0
1122,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,,Poco/un poco/ nada,,8 a 11 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,2,6,5,3,1,,2,Algo,No se confía en la política/la gente está desilusionada,Algo,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,Positivamente,,Positivamente,Positivamente,Negativamente,No,,Extrema izquierda,Hombre,Soltero,,24,Bachiller elemental,Católico no practicante,Varias veces por semana,Está empleado (trabaja por cuenta ajena),Más de 85.000 ptas mensuales,Otros,Mucha,10.0,,,3,Área de Madrid,Más de 1.000.000 habitantes,Empleados a nivel superior,,9.0,2.0,6.0,5.0,3.0,1.0,,2.0,18-25,0.0
1123,Conjunto de principios básicos que regulan la vida de los es,Solo cuando el tema/ o los temas me interesaban de forma esp,Televisión,,Poco/un poco/ nada,,8 a 11 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,2,6,4,2,4,,,Algo,Es abstracta,Poco,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Sin influencia,,Positivamente,Positivamente,,Sí,A favor,2,Hombre,Viudo,,30,Estudios de grado medio,No creyente,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 66.000 ptas a 85.000 ptas mensuales,Otros,Mucha,15.0,,,2,Área de Madrid,Más de 1.000.000 habitantes,Obreros cualificados,Profesional Liberal,8.0,2.0,6.0,4.0,2.0,4.0,,,26-35,1.0
1124,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Radio,,Poco/un poco/ nada,Suficiente,1 año,No menciona,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,6,5,2,4,,,Poco,,Poco,,,,,,,,,,,,De acuerdo,,De acuerdo,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Positivamente,,,Positivamente,,Sí,Se abstendrá,2,Mujer,Casado,,32,Bachiller superior,No creyente,Varias veces al año,Está empleado (trabaja por cuenta ajena),Más de 85.000 ptas mensuales,Otros,Bastante,15.0,,,3,Área de Madrid,Más de 1.000.000 habitantes,,,9.0,1.0,6.0,5.0,2.0,4.0,,,26-35,1.0
1125,Conjunto de principios básicos que regulan la vida de los es,Solo cuando el tema/ o los temas me interesaban de forma esp,Radio,,Poco/un poco/ nada,Insuficiente,1 año,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,2,6,5,,,,Poco,,Mucho,,,,,,,,,,,,De acuerdo,,De acuerdo,,,De acuerdo,De acuerdo,,De acuerdo,,Positivamente,,,,,,No,,2,Mujer,Casado,,22,Universitario o técnicos de grado superior,No creyente,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 66.000 ptas a 85.000 ptas mensuales,Otros,Bastante,15.0,,,3,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,8.0,1.0,2.0,6.0,5.0,,,,18-25,0.0
1126,Un concierto que tipifican los delitos y señala las penas,Sólo de vez en cuando,Televisión,,Poco/un poco/ nada,Suficiente,8 a 11 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,5,3,4,5,,7,,,,Algo,,,,,,,,,,,,,,,,,,De acuerdo,,De acuerdo,,,,Sin influencia,,,,No,A favor,5,Hombre,Casado,,31,Bachiller elemental,Católico practicante,Alguna vez al mes,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,No votó,Nada,15.0,,,3,Área de Madrid,Más de 1.000.000 habitantes,Empleados subalternos,,7.0,5.0,3.0,4.0,5.0,,7.0,,26-35,0.0
1127,Conjunto de ordenanzas que regulan la Administración español,Regularmente,Prensa,,Poco/un poco/ nada,Suficiente,1 año,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,3,4,,,,,,,,,,,,,,,,,,,De acuerdo,,,,,,,,Positivamente,,,Sin influencia,No,A favor,3,Mujer,Soltero,,52,Universitario o técnicos de grado superior,Católico practicante,Nunca,Trabaja por su cuenta,De 46.000 ptas a 65.000 ptas mensuales,No votó,Bastante,15.0,,,6,Área de Madrid,Más de 1.000.000 habitantes,,Trabajador Independiente,7.0,,,,,,3.0,4.0,46-55,0.0
1128,Conjunto de ordenanzas que regulan la Administración español,Sólo de vez en cuando,Prensa,,La mayoría de los artículos,Suficiente,5 a 7 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,2,4,,,,,,,,,,,,,,,,De acuerdo,,,De acuerdo,,,,,,,,Sin influencia,Sin influencia,,Sin influencia,,,2,Hombre,Viudo,,29,Bachiller elemental,No creyente,Los domingos y festivos,Está jubilado y antes estaba empleado,De 36.000 ptas a 45.000 ptas mensuales,U.C.D,Mucha,10.0,,,3,Área de Madrid,Más de 1.000.000 habitantes,,,6.0,,,,,,2.0,4.0,26-35,
1129,Un concierto que tipifican los delitos y señala las penas,,,,Poco/un poco/ nada,,5 a 7 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,2,1,1,,Hay problemas más importantes,,,,,,,,,,,,,,De acuerdo,,De acuerdo,De acuerdo,,,De acuerdo,,De acuerdo,,Sin influencia,Sin influencia,Positivamente,Sin influencia,Sin influencia,,,2,Hombre,Soltero,,29,"Menos de estudios primarios, no sabe leer",Católico practicante,Los domingos y festivos,Está parado,De 36.000 ptas a 45.000 ptas mensuales,P.S.O.E,Bastante,10.0,,,3,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,6.0,,,,,2.0,1.0,1.0,26-35,
1130,Conjunto de principios básicos que regulan la vida de los es,,,,,Insuficiente,,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,3,3,1,Poco,,,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,,De acuerdo,,De acuerdo,Sin influencia,Sin influencia,Sin influencia,Positivamente,Positivamente,Positivamente,,,4,Mujer,Divorciado o separado,,26,"Menos de estudios primarios, sabe leer (menos de 6 años de e",,,Está parado,De 26.000 ptas a 35.000 ptas mensuales,Otros,Mucha,10.0,,,8,Área de Madrid,Más de 1.000.000 habitantes,Obreros cualificados,Profesional Liberal,5.0,,,,,3.0,3.0,1.0,26-35,
1131,Conjunto de principios básicos que regulan la vida de los es,,,Prensa,,Suficiente,,,,,,,,,,,,1,1,3,3,3,,2,Algo,,Mucho,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Sin influencia,,Positivamente,Positivamente,Sin influencia,,,,Mujer,Casado,,24,Estudios primarios completos. cultural general,No creyente,,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,,Mucha,10.0,,,8,Área de Madrid,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,7.0,1.0,1.0,3.0,3.0,3.0,,2.0,18-25,
1132,Conjunto de principios básicos que regulan la vida de los es,,,Televisión,,Insuficiente,,,,,,,,,,,,1,4,5,4,1,,,Algo,,Algo,,,,,,,,,,,,N.S,De acuerdo,De acuerdo,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Sin influencia,Positivamente,,Positivamente,Positivamente,,No,,6,Hombre,Soltero,,65,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 66.000 ptas a 85.000 ptas mensuales,P.S.O.E,Mucha,15.0,,De 36.000 ptas a 45.000 ptas mensuales,8,Área de Madrid,Más de 1.000.000 habitantes,Obreros cualificados,,8.0,1.0,4.0,5.0,4.0,1.0,,,56-65,0.0
1133,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Prensa,,,,,,,,,,,,,,,1,1,3,1,4,,,Mucho,,Mucho,,,,,,,,,,,,En desacuerdo,,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Sin influencia,Positivamente,,Positivamente,,Sí,,4,Mujer,Divorciado o separado,,23,Estudios primarios completos. cultural general,Católico practicante,Nunca,Trabaja por su cuenta,De 66.000 ptas a 85.000 ptas mensuales,No votó,Bastante,14.0,,Hasta 6.000 ptas mensuales,8,Área de Madrid,Más de 1.000.000 habitantes,N.C,Profesional Liberal,8.0,1.0,1.0,3.0,1.0,4.0,,,18-25,1.0
1134,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Prensa,,Sólo una parte,Suficiente,5 a 7 meses,,,,,,,,,,,4,6,5,2,,,,Poco,,Mucho,,,,,,,,,,,,De acuerdo,En desacuerdo,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,,De acuerdo,,Sin influencia,,Positivamente,,,Positivamente,Sí,,Extrema izquierda,Mujer,Casado,,37,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Alguna vez al mes,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,,Mucha,15.0,,De 12.000 ptas a 18.000 ptas mensuales,8,Área de Madrid,Más de 1.000.000 habitantes,"Vendedores, Agentes Comerciales, etc...",,6.0,4.0,6.0,5.0,2.0,,,,36-45,1.0
1135,Conjunto de ordenanzas que regulan la Administración español,Sólo de vez en cuando,Televisión,"Charlas con amigos, parientes, etc.",Sólo una parte,,5 a 7 meses,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,2,6,3,,,,,,Mucho,,,,,,,,,,,,,En desacuerdo,,N.S,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,Positivamente,,Positivamente,Sí,,,Hombre,Soltero,,34,Bachiller superior,Católico practicante,,Está empleado (trabaja por cuenta ajena),Más de 85.000 ptas mensuales,P.C.E.,Bastante,14.0,,De 36.000 ptas a 45.000 ptas mensuales,8,Área de Madrid,Más de 1.000.000 habitantes,Peones y obreros sin cualificar,,9.0,1.0,2.0,6.0,3.0,,,,26-35,1.0
1136,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,Radio,Sólo una parte,Insuficiente,5 a 7 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,,,Mucho,,,,,,,,,,,,,,En desacuerdo,En desacuerdo,N.S,En desacuerdo,,N.S,,De acuerdo,,De acuerdo,,Positivamente,,Positivamente,Positivamente,,Sí,A favor,4,Hombre,Casado,,21,Bachiller superior,Católico practicante,Nunca,Está parado,De 46.000 ptas a 65.000 ptas mensuales,P.C.E.,Bastante,12.0,,De 66.000 ptas a 85.000 ptas mensuales,8,Área de Madrid,Más de 1.000.000 habitantes,,,7.0,,,,,,,,18-25,1.0
1137,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Prensa,Radio,Poco/un poco/ nada,Insuficiente,Menos de 5 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,1,1,1,,,,Mucho,,Nada,,,,,,,,,,,,En desacuerdo,,De acuerdo,En desacuerdo,N.S,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,,,Positivamente,Positivamente,,Se abstendrá,4,Mujer,Casado,,30,Estudios primarios completos. cultural general,Católico practicante,Nunca,Trabaja por su cuenta,De 46.000 ptas a 65.000 ptas mensuales,,Bastante,15.0,,,3,Área de Madrid,Más de 1.000.000 habitantes,,,7.0,1.0,1.0,1.0,1.0,,,,26-35,
